ws_9021,ws_9022,ws_9023,ws_9024,ws_9025,ws_9031,ws_9032,ws_9033,ws_9034,ws_9035,ws_9041,ws_9051,ws_9052,ws_9053,power,limited
12.227,10.124,9.209,10.527000000000001,11.55,12.625,10.530999999999999,12.85,11.491,12.654000000000002,12.573,9.157,10.17,10.46,2405.66,False
11.743,10.602,8.929,10.333,11.32,12.196,9.415,11.1,11.427,12.354000000000001,12.895999999999999,9.412,9.369,10.092,2426.88,False
10.882,10.004,9.453,12.169,11.59,11.343,9.808,11.14,12.460999999999999,10.715,12.284,10.565999999999999,9.873,9.859,2358.49,False
11.029000000000002,9.11,9.981,11.237,11.69,10.564,9.267000000000001,11.04,10.964,10.737,11.675999999999998,8.995,8.593,9.503,2361.05,False
10.872,8.369,9.482000000000001,11.267000000000001,10.16,11.583,8.889,12.13,11.07,11.0,11.103,8.742,7.721,10.552999999999999,2392.66,False
10.048,7.874,8.417,10.683,10.81,11.292,8.134,11.96,10.389000000000001,9.391,11.290999999999999,9.552,9.312999999999999,9.506,2231.38,False
8.891,7.3870000000000005,8.562999999999999,9.753,9.53,9.318999999999999,8.267000000000001,10.95,9.531,9.475,11.097999999999999,9.949,8.347000000000001,8.167,1941.4,False
7.489,9.073,8.213,7.867999999999999,9.04,9.956,8.038,11.01,9.656,8.502,8.103,8.867,6.915,7.917000000000001,940.048,False
7.127000000000001,7.962999999999999,6.718999999999999,9.793,9.34,10.811,12.075,11.11,10.232000000000001,8.934,8.137,8.874,7.114,9.202,1068.74,False
8.202,9.472000000000001,7.731,9.322000000000001,10.22,10.025,11.869000000000002,10.35,10.624,9.684,8.488,8.602,8.072000000000001,11.213,1555.03,False
8.362,8.128,8.354,8.78,10.05,10.216000000000001,9.179,11.04,11.432,9.136000000000001,9.958,9.704,7.831,10.427999999999999,1707.77,False
7.853,10.677999999999999,8.326,9.763,11.23,12.755,8.456,12.51,12.675999999999998,10.251,8.908999999999999,9.724,10.113999999999999,12.762,1495.39,False
9.405,10.023,10.485,10.308,11.45,9.779,9.398,12.37,10.288,11.157,10.448,10.89,9.846,10.651,1736.08,False
10.308,9.359,11.905999999999999,10.079,11.54,11.338,10.380999999999998,10.56,12.507,10.236,10.815999999999999,11.731,9.427999999999999,9.871,2185.92,False
10.668,8.372,9.32,8.161,10.58,12.22,10.669,11.46,11.27,10.487,10.799000000000001,10.315,9.654,10.241,2211.31,False
8.453,10.802999999999999,8.081,8.706,11.44,11.387,10.185,10.95,9.994,11.255999999999998,9.576,9.12,8.6,11.548,2113.63,False
8.104,9.258,7.129,8.326,10.61,10.431,10.807,10.52,9.225,11.069,11.09,8.687999999999999,10.716,9.962,2096.45,False
8.033,9.103,7.365,6.689,10.89,9.847999999999999,10.515999999999998,9.53,9.859,10.421,10.581,7.657,10.251,10.395999999999999,1871.61,False
7.528,8.468,5.295,6.4110000000000005,10.82,9.618,10.878,9.5,9.215,10.099,9.041,7.095,10.463,10.595,1330.19,False
6.894,8.81,5.88,6.665,10.92,9.392000000000001,10.457,9.31,9.671,10.145,8.691,6.143,10.529000000000002,10.693,1096.79,False
6.945,9.056000000000001,6.222,6.334,10.61,9.039,10.354000000000001,8.93,10.207,10.217,8.068999999999999,6.803,10.315,11.284,1102.23,False
7.218,9.152000000000001,5.907,6.84,9.96,9.061,10.979000000000001,9.13,9.49,9.971,7.476,7.547000000000001,10.404000000000002,11.780999999999999,943.898,False
7.117000000000001,9.988999999999999,6.905,6.879,10.85,9.693999999999999,9.917,10.09,9.847000000000001,10.118,6.897,7.768,9.035,11.84,621.052,False
7.393,9.937000000000001,6.492000000000001,8.398,9.71,9.693999999999999,8.837,10.44,9.735,9.836,6.587999999999999,8.501,9.915,11.72,1081.29,False
7.223,9.469,7.294,7.419,10.99,8.468,7.655,8.7,9.646,10.722999999999999,6.9879999999999995,8.411,10.136000000000001,10.933,1190.27,False
7.172000000000001,8.597999999999999,6.746,7.261,11.28,8.972999999999999,6.905,8.25,9.869,10.73,8.107999999999999,8.392999999999999,9.455,9.902999999999999,1124.8,False
6.207000000000001,9.184,7.604,7.084,11.16,8.64,8.027999999999999,8.24,9.808,10.632,8.022,8.302999999999999,9.512,10.825,997.404,False
7.191,9.373,6.986000000000001,6.938,10.98,9.145,9.749,8.84,10.027999999999999,10.843,9.012,8.447000000000001,8.023,10.270999999999999,989.688,False
8.293,9.169,6.119,6.752999999999999,10.45,9.779,10.096,9.65,9.323,10.013,8.007,7.726,8.853,10.357000000000001,1538.09,False
8.283999999999999,8.741,5.666,7.525,9.89,9.412,10.561,9.73,9.396,9.74,8.453,6.781000000000001,8.517000000000001,10.19,1344.75,False
7.664,8.335,5.455,7.185,10.5,9.863,9.926,9.82,9.103,9.632,10.237,7.242000000000001,8.453,9.834,1499.54,False
7.87,8.068999999999999,6.332000000000001,7.278,10.81,8.722999999999999,9.231,10.31,10.087,10.008,9.612,7.792000000000001,7.04,10.405999999999999,1574.4,False
9.039,8.662,6.4479999999999995,7.7170000000000005,11.24,10.093,10.238999999999999,9.58,10.692,10.390999999999998,9.519,7.5,7.544,10.636,2002.86,False
8.781,9.236,7.154,7.251,10.59,9.846,9.713,9.49,9.661,10.165,9.311,8.612,7.686,11.154000000000002,1601.5,False
7.944,9.386000000000001,6.999,8.017999999999999,11.04,10.132,8.642999999999999,11.01,10.91,10.642000000000001,9.937999999999999,8.892000000000001,8.399,11.335,1374.5,False
7.093,9.049,7.058,8.149,10.71,10.662,7.905,10.67,10.413,10.224,9.804,8.261000000000001,8.9,11.504000000000001,1359.78,False
6.903,9.499,6.426,8.075,11.13,8.748,7.849,9.46,10.913,11.116,9.644,8.142999999999999,9.792,11.382,1429.94,False
7.763999999999999,10.112,6.977,8.318999999999999,11.12,9.157,8.707,9.93,10.452,10.639000000000001,9.75,8.371,9.78,12.699000000000002,1161.74,False
8.249,9.356,8.097999999999999,8.932,11.27,10.042,9.081,9.23,10.69,11.216,10.076,8.884,9.613,12.436,1428.08,False
7.295,10.218,8.135,8.449,12.28,8.939,8.94,8.95,10.207,11.067,8.823,8.916,10.238999999999999,11.409,1237.12,False
8.985,10.193,8.349,8.129,11.4,9.912,9.336,8.94,11.025,11.231,8.36,10.367,9.416,10.562999999999999,1789.0,False
9.755,9.199,8.336,9.009,11.54,9.62,9.113,8.72,10.315,11.629000000000001,8.515,10.323,9.168,10.597000000000001,2204.95,False
8.766,8.866,8.622,8.886000000000001,10.83,7.515,9.282,7.08,8.186,11.113,8.213,10.109,8.249,11.232000000000001,1590.95,False
